CLASS_ENCRYPTION_APK/Malgenome/SMSReplicator/SMSReplicator1 4.517980080724923 0 0 0 0 0
CLASS_ENCRYPTION_APK/Malgenome/Bgserv/Bgserv9 5.125376523877327 0 0 0 0 0
CLASS_ENCRYPTION_APK/Malgenome/Bgserv/Bgserv8 5.1240181586541125 0 0 0 0 0
CLASS_ENCRYPTION_APK/Malgenome/Bgserv/Bgserv6 4.666509989109445 0 0 0 0 0
CLASS_ENCRYPTION_APK/Malgenome/Bgserv/Bgserv7 5.1240187508609925 0 0 0 0 0
CLASS_ENCRYPTION_APK/Malgenome/Bgserv/Bgserv5 5.12378184156529 0 0 0 0 0
CLASS_ENCRYPTION_APK/Malgenome/Bgserv/Bgserv4 5.125200543117403 0 0 0 0 0
CLASS_ENCRYPTION_APK/Malgenome/Bgserv/Bgserv1 5.129698112644977 0 0 0 0 0
CLASS_ENCRYPTION_APK/Malgenome/Bgserv/Bgserv3 5.123801943759194 0 0 0 0 0
CLASS_ENCRYPTION_APK/Malgenome/Bgserv/Bgserv2 5.130362788238061 0 0 0 0 0
CLASS_ENCRYPTION_APK/Malgenome/Jifake/Jifake1 5.414434137590409 0 0 0 0 0
CLASS_ENCRYPTION_APK/Malgenome/GoldDream/GoldDream16 4.7091332067642035 0 0 0 0 0
CLASS_ENCRYPTION_APK/Malgenome/GoldDream/GoldDream17 4.76053433156455 0 0 0 0 0
CLASS_ENCRYPTION_APK/Malgenome/GoldDream/GoldDream29 4.786521136717163 0 0 0 0 0
CLASS_ENCRYPTION_APK/Malgenome/GoldDream/GoldDream15 4.724660718450183 0 0 0 0 0
CLASS_ENCRYPTION_APK/Malgenome/GoldDream/GoldDream14 4.760531429499627 0 0 0 0 0
CLASS_ENCRYPTION_APK/Malgenome/GoldDream/GoldDream28 4.763205339484827 0 0 0 0 0
CLASS_ENCRYPTION_APK/Malgenome/GoldDream/GoldDream10 4.834644554847614 0 0 0 0 0
CLASS_ENCRYPTION_APK/Malgenome/GoldDream/GoldDream38 4.765123087908907 0 0 0 0 0
