,filename,Avg_Wordsize_Flds,Avg_Distances_Flds,Num_Flds_L1,Num_Flds_L2,Num_Flds_L3,Avg_Wordsize_Mtds,Avg_Distances_Mtds,Num_Mtds_L1,Num_Mtds_L2,Num_Mtds_L3,Avg_Wordsize_Cls,Avg_Distances_Cls,Num_Cls_L1,Num_Cls_L2,Num_Cls_L3,trivial,string,reflection,class
0,/Users/avitella/Desktop/PraGuard/dataset/CLASS_ENCRYPTION_APK/Malgenome/SMSReplicator/SMSReplicator1.apk,4.295454545454546,0.23172641976309116,7.0,22.0,3.0,4.918918918918919,0.1734013425189896,7.0,11.0,0.0,12.545454545454545,0.43449412975945645,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,/Users/avitella/Desktop/PraGuard/dataset/CLASS_ENCRYPTION_APK/Malgenome/Bgserv/Bgserv9.apk,6.5,0.24509811349041438,9.0,28.0,7.0,5.974025974025974,0.1826594738334399,11.0,17.0,0.0,18.789473684210527,0.4229094058056364,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,/Users/avitella/Desktop/PraGuard/dataset/CLASS_ENCRYPTION_APK/Malgenome/Bgserv/Bgserv8.apk,6.5,0.24509811349041438,9.0,28.0,7.0,5.974025974025974,0.1826594738334399,11.0,17.0,0.0,18.789473684210527,0.4229094058056364,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,/Users/avitella/Desktop/PraGuard/dataset/CLASS_ENCRYPTION_APK/Malgenome/Bgserv/Bgserv6.apk,6.493670886075949,0.25191102678073224,2.0,37.0,8.0,6.453333333333333,0.11514080596176408,2.0,24.0,0.0,17.857142857142858,0.4872337761077818,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,/Users/avitella/Desktop/PraGuard/dataset/CLASS_ENCRYPTION_APK/Malgenome/Bgserv/Bgserv7.apk,6.5,0.24509811349041438,9.0,28.0,7.0,5.974025974025974,0.1826594738334399,11.0,17.0,0.0,18.789473684210527,0.4229094058056364,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,/Users/avitella/Desktop/PraGuard/dataset/CLASS_ENCRYPTION_APK/Malgenome/Bgserv/Bgserv5.apk,6.5,0.24509811349041438,9.0,28.0,7.0,5.974025974025974,0.1826594738334399,11.0,17.0,0.0,18.789473684210527,0.4229094058056364,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,/Users/avitella/Desktop/PraGuard/dataset/CLASS_ENCRYPTION_APK/Malgenome/Bgserv/Bgserv4.apk,6.5,0.24509811349041438,9.0,28.0,7.0,5.974025974025974,0.1826594738334399,11.0,17.0,0.0,18.789473684210527,0.4229094058056364,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,/Users/avitella/Desktop/PraGuard/dataset/CLASS_ENCRYPTION_APK/Malgenome/Bgserv/Bgserv1.apk,6.5256410256410255,0.23881681577006958,9.0,28.0,8.0,6.2560975609756095,0.16617034640472345,11.0,17.0,0.0,19.85,0.42198924300646556,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,/Users/avitella/Desktop/PraGuard/dataset/CLASS_ENCRYPTION_APK/Malgenome/Bgserv/Bgserv3.apk,6.5,0.24509811349041438,9.0,28.0,7.0,5.974025974025974,0.1826594738334399,11.0,17.0,0.0,18.789473684210527,0.4229094058056364,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,/Users/avitella/Desktop/PraGuard/dataset/CLASS_ENCRYPTION_APK/Malgenome/Bgserv/Bgserv2.apk,6.5256410256410255,0.23881681577006958,9.0,28.0,8.0,6.2560975609756095,0.16617034640472345,11.0,17.0,0.0,19.85,0.42198924300646556,0.0,0.0,0.0,0.0,0.0,0.0,1.0
